sample_id,process_type,C_pct,H_pct,O_pct,N_pct,S_pct,cellulose_pct,hemicellulose_pct,lignin_pct,ash_pct,temperature_C,pressure_bar,residence_time_h,gasifying_agent,CO_yield_pct,H2_yield_pct,CH4_yield_pct,CO2_yield_pct,LHV_MJ_Nm3,bio_oil_yield_pct,biochar_yield_pct,syngas_yield_pct,hydrochar_yield_pct,HHV_hydrochar_MJ_kg
24,1,29.18,2.83,32.38,1.59,0.32,11.21, 1.85,10.20,29.75, 706.7, 1.2, 1.2,2,18.55,11.56,10.39, 5.82, 7.50, 0.21, 0.00,*****, 0.00, 0.32
25,1,31.20,2.84,31.56,1.79,0.34,10.33, 2.47,11.96,29.40, 757.9, 2.3, 0.7,2,17.95,10.53,10.08, 6.38, 7.93, 3.05, 0.00,99.96, 3.54, 0.00
26,1,29.86,2.51,32.07,1.72,0.32,12.56, 1.82,10.57,27.04, 801.1, 2.2, 1.4,3,22.60,14.76, 8.53, 5.39, 7.74, 0.93, 0.00,99.62, 1.02, 1.28
27,1,30.93,2.61,33.91,1.43,0.37,10.70, 1.23, 9.72,26.23, 830.3, 3.3, 2.4,3,21.97,15.68, 9.05, 7.17, 7.63, 0.00, 0.00,*****, 1.86, 0.19
28,1,28.01,2.54,35.97,1.77,0.39,11.58, 1.89, 9.91,26.52, 748.3, 2.7, 1.5,1,14.72,10.33,11.18, 9.05, 6.54, 1.59, 1.81,96.60, 2.12, 0.00
29,1,29.44,2.81,34.67,1.46,0.40,12.33, 1.12, 9.20,26.34, 729.7, 2.1, 1.4,1,17.69, 9.32,11.74,10.87, 7.42, 0.67, 0.00,*****, 0.00, 0.68
30,1,30.11,2.53,35.83,1.64,0.36,12.04, 2.18, 9.39,34.96, 875.8, 1.9, 1.4,3,24.07,18.16, 9.21, 6.66, 8.20, 0.00, 1.18,99.64, 0.24, 0.00
31,1,31.24,2.91,31.14,1.43,0.39,12.47, 1.99,10.43,31.38, 761.1, 4.5, 1.6,1,21.13,11.37,11.56, 8.19, 8.38, 2.96, 0.00,98.86, 1.68, 0.00
32,1,30.22,2.72,35.00,1.40,0.37,10.40, 1.27,11.47,26.50, 803.2, 2.4, 0.9,3,21.21,14.85,10.18, 6.19, 7.19, 0.00, 0.00,*****, 0.82, 0.00
33,1,30.57,2.61,32.46,1.45,0.34,12.74, 1.20, 9.21,29.04, 766.6, 3.2, 0.8,2,20.18,11.77,11.03, 9.44, 7.22, 2.43, 1.07,96.50, 0.00, 0.15
34,1,31.41,2.98,30.40,1.58,0.37,12.45, 1.40,11.39,27.11, 702.5, 3.7, 1.2,3,15.52,10.84,10.41, 8.12, 7.08, 0.00, 0.29,*****, 0.78, 0.00
35,1,30.57,2.64,34.00,1.53,0.35,12.32, 1.13,10.96,33.33, 896.5, 4.3, 2.2,3,25.14,19.54,10.01, 4.04, 8.47, 2.65, 0.00,97.45, 1.84, 0.00
36,1,28.44,2.83,34.05,1.62,0.31,12.48, 2.48,10.12,28.56, 838.3, 3.0, 1.8,2,22.05,14.13,10.26, 5.93, 7.93, 0.00, 0.21,*****, 0.00, 0.17
37,1,30.35,2.57,31.14,1.76,0.33,12.24, 1.91, 9.79,33.69, 704.3, 3.5, 1.0,1,16.38, 7.08,11.95, 8.21, 7.01, 1.69, 1.61,96.70, 0.00, 0.22
38,1,30.12,2.74,34.93,1.72,0.35,11.12, 2.35,11.15,33.66, 721.7, 1.2, 1.9,3,18.27,13.39,10.09, 8.85, 6.97, 0.67, 0.00,99.47, 1.65, 0.00
39,1,28.17,2.69,33.03,1.44,0.39,12.34, 1.74, 9.26,33.19, 830.9, 2.9, 0.8,1,23.09,14.44,11.76, 5.00, 7.69, 1.40, 2.99,95.61, 0.00, 0.30
40,1,30.58,2.50,33.53,1.77,0.37,10.07, 1.03,11.95,33.60, 783.0, 3.5, 0.8,1,18.67,10.68,11.62,10.77, 7.44, 0.00, 3.38,97.92, 3.59, 0.54
41,1,31.07,2.83,31.58,1.73,0.38,11.49, 1.77,10.05,32.39, 712.0, 4.4, 2.3,1,16.72, 5.86,11.67, 9.61, 6.51, 1.02, 1.13,97.85, 2.31, 0.00
42,1,28.42,2.87,31.36,1.55,0.38,10.37, 2.00, 9.72,26.53, 756.0, 3.9, 1.1,3,19.67,13.61,10.54, 7.46, 7.63, 2.02, 0.96,97.03, 0.00, 0.00
43,1,31.26,2.86,30.71,1.67,0.35,12.47, 1.16,10.37,27.47, 888.7, 4.3, 0.5,1,25.23,12.38,10.41, 5.89, 8.44, 0.98, 0.00,99.56, 2.16, 0.00
44,1,31.13,2.73,35.78,1.44,0.36,12.47, 1.83,10.41,27.84, 879.7, 3.8, 0.6,1,23.95,15.89,10.88, 5.15, 8.37, 0.72, 0.00,99.62, 3.53, 1.47
45,1,29.03,2.97,34.63,1.41,0.33,10.60, 1.67,10.86,26.11, 801.8, 4.9, 2.3,1,18.95,12.28,11.61, 8.36, 7.80, 0.97, 0.00,99.61, 0.00, 0.00
46,1,31.94,2.53,30.44,1.42,0.35,10.28, 1.07,10.97,34.75, 837.7, 3.0, 1.5,1,23.03,11.04,12.00, 5.32, 8.39, 0.00, 0.00,*****, 0.00, 0.00
47,1,28.92,2.73,32.85,1.61,0.34,12.14, 1.19,10.27,30.60, 864.3, 2.4, 1.3,3,22.43,17.57, 9.85, 4.04, 8.37, 0.00, 2.93,98.25, 0.35, 0.00
48,1,30.11,2.91,34.68,1.68,0.40,12.94, 1.48,10.16,26.11, 709.1, 3.7, 0.8,1,18.92,10.76,10.57,10.94, 6.53, 3.46, 0.00,97.42, 1.19, 0.00
49,1,31.02,2.74,32.86,1.68,0.36,12.00, 2.22,10.57,31.71, 884.6, 2.3, 2.3,3,25.29,16.56,10.24, 3.47, 8.37, 2.27, 0.00,*****, 0.00, 0.13
50,1,29.06,2.84,34.12,1.48,0.37,12.59, 1.69, 9.53,27.59, 732.6, 2.0, 1.5,1,13.31, 8.80,11.41, 6.93, 7.58, 1.77, 2.98,95.25, 1.01, 0.00
51,1,30.24,2.81,34.60,1.79,0.34,11.47, 2.26,10.46,31.34, 737.4, 4.8, 1.4,2,19.91,11.71,10.43, 6.79, 6.97, 3.69, 0.00,96.97, 0.03, 0.00
52,1,28.74,2.61,34.21,1.57,0.33,12.82, 1.54, 9.08,34.12, 739.1, 1.8, 0.6,2,17.21,12.62, 9.82, 9.60, 7.50, 2.79, 1.34,95.87, 2.53, 0.18
53,1,28.64,2.92,30.01,1.67,0.31,12.23, 2.14,11.58,28.87, 705.6, 2.0, 1.2,3,19.13,14.23, 9.64, 7.22, 7.39, 0.00, 0.00,*****, 1.67, 0.00
54,1,31.57,2.90,35.94,1.72,0.34,10.23, 2.29,10.30,25.29, 791.0, 1.4, 2.4,1,19.72,10.01,11.22, 8.22, 7.71, 0.00, 0.00,*****, 2.64, 0.45
55,1,31.57,2.58,33.11,1.68,0.31,11.88, 2.30,11.51,31.84, 761.1, 3.6, 1.6,3,20.03,14.15,10.31, 7.24, 7.06, 0.75, 0.70,98.55, 0.00, 0.00
56,1,31.82,2.91,33.41,1.62,0.39,11.86, 1.55,11.59,32.99, 844.8, 1.0, 2.2,1,23.08,12.07,10.94, 6.98, 8.03, 0.26, 0.48,99.26, 0.61, 2.50
57,1,28.15,2.81,34.02,1.72,0.32,12.10, 2.11, 9.91,32.99, 784.7, 3.5, 1.8,2,17.85,12.36,10.75, 5.63, 7.38, 0.00, 0.07,*****, 2.44, 0.01
58,1,29.31,2.83,31.84,1.44,0.32,11.12, 1.65,10.25,31.43, 711.8, 3.2, 1.5,1,15.88, 7.30,12.63,10.03, 7.08, 0.06, 0.97,98.97, 0.78, 0.26
59,1,30.00,2.89,30.08,1.56,0.39,12.17, 1.51,11.22,32.06, 890.3, 3.8, 0.9,1,23.87,14.60,10.75, 2.34, 8.45, 0.00, 0.00,*****, 0.00, 0.47
60,1,28.90,2.67,31.88,1.77,0.37,11.35, 1.70,11.17,34.75, 828.1, 3.8, 2.5,3,22.03,14.50, 9.61, 6.23, 7.74, 0.00, 3.89,96.74, 0.00, 0.00
61,1,29.19,2.75,35.81,1.62,0.34,12.71, 2.50, 9.01,29.03, 855.5, 5.0, 2.3,1,23.26,13.34,10.36, 5.16, 8.28, 0.00, 0.00,*****, 0.00, 0.00
62,1,31.89,2.75,32.33,1.65,0.39,12.70, 1.39,11.26,30.68, 875.0, 3.5, 1.3,2,22.66,15.60,10.78, 3.58, 8.41, 0.00, 1.70,99.90, 0.00, 0.00
63,1,30.10,2.53,30.63,1.59,0.38,12.06, 1.82, 9.44,31.35, 864.0, 3.9, 1.1,2,23.57,15.67,11.72, 2.82, 7.92, 0.00, 0.00,*****, 0.00, 0.12
64,1,30.68,2.51,35.86,1.65,0.34,10.47, 1.22, 9.67,31.02, 856.2, 4.0, 1.0,2,20.75,15.64,11.15, 4.30, 8.06, 0.00, 0.00,*****, 0.00, 0.00
65,1,31.41,2.90,35.10,1.66,0.40,11.05, 1.43,11.38,31.42, 858.8, 3.2, 0.6,1,22.94,13.63,11.22, 5.54, 8.36, 0.00, 0.23,*****, 0.00, 0.00
66,1,28.59,2.71,30.05,1.61,0.33,10.22, 1.12,10.21,34.04, 856.7, 4.0, 1.0,2,20.77,16.72,10.44, 4.15, 7.99, 0.00, 0.00,*****, 0.00, 0.00
67,1,29.90,2.64,35.26,1.80,0.37,10.52, 1.32,11.19,25.91, 890.2, 2.0, 0.7,1,22.49,16.06,10.24, 5.00, 8.34, 0.04, 0.00,*****, 2.64, 0.00
68,1,29.72,2.69,33.91,1.56,0.33,10.35, 2.15,10.68,29.48, 820.7, 4.6, 1.4,2,20.98,14.45,10.56, 6.28, 7.63, 0.00, 0.42,*****, 0.00, 0.54
69,1,30.87,2.65,35.54,1.68,0.33,11.78, 1.97,11.88,30.82, 768.7, 1.2, 0.8,1,18.73, 8.51,10.74, 9.87, 7.39, 0.46, 0.00,*****, 0.00, 0.89
70,1,29.37,2.61,31.45,1.63,0.38,11.61, 1.28,10.92,29.22, 862.4, 2.1, 1.9,2,23.15,15.48,10.56, 3.76, 8.34, 0.21, 0.38,99.41, 2.49, 0.00
71,1,29.64,2.98,35.37,1.46,0.31,11.93, 2.13, 9.80,31.67, 899.7, 1.9, 0.9,1,24.10,15.34,10.70, 3.68, 8.85, 0.00, 0.00,*****, 0.00, 0.00
72,1,28.57,2.98,34.05,1.48,0.37,10.54, 1.68,11.82,34.42, 771.8, 2.4, 1.4,2,19.97,12.17,10.15, 6.40, 7.16, 0.00, 2.89,98.84, 4.18, 0.00
73,1,31.17,2.57,30.55,1.72,0.34,10.57, 1.57, 9.66,31.54, 739.0, 2.0, 1.5,1,19.57, 8.52,11.77, 9.47, 7.71, 0.00, 1.86,*****, 4.41, 0.65
74,1,30.94,2.84,33.49,1.66,0.34,11.02, 1.33,10.94,31.29, 762.6, 3.1, 2.0,1,18.05,11.78,10.74,12.30, 7.74, 0.00, 1.42,*****, 0.00, 0.16
75,1,31.83,2.71,32.68,1.46,0.34,10.53, 1.43, 9.99,34.98, 895.9, 2.6, 1.1,1,24.90,14.67,11.65, 2.32, 8.65, 0.00, 0.00,*****, 0.00, 0.00
76,1,31.98,2.78,30.59,1.49,0.39,11.87, 1.36, 9.47,25.09, 812.4, 2.7, 2.0,2,20.93,13.35,10.10, 3.98, 7.70, 3.53, 0.27,96.20, 0.00, 0.64
77,1,31.69,2.77,34.22,1.47,0.33,10.51, 2.16,11.35,30.35, 746.4, 3.1, 1.4,1,17.08, 9.56,11.95,10.30, 7.37, 0.55, 1.69,97.75, 0.62, 0.00
78,1,30.32,2.60,35.95,1.51,0.33,13.00, 2.35,11.45,25.51, 726.2, 4.0, 0.6,3,17.12, 9.84, 9.89, 8.25, 6.98, 3.64, 3.21,93.15, 0.00, 0.02
79,1,31.34,2.80,32.90,1.58,0.37,11.59, 1.38,10.48,28.11, 860.1, 4.9, 2.3,3,20.14,16.88, 8.93, 6.52, 7.92, 0.00, 0.12,*****, 1.82, 0.00
80,1,31.92,2.65,32.88,1.65,0.37,12.38, 1.23, 9.75,25.49, 715.1, 4.8, 0.8,2,19.44, 9.76,11.22, 9.10, 7.34, 0.00, 0.28,*****, 4.63, 0.00
81,1,29.87,2.77,33.61,1.53,0.39,12.01, 1.22,11.67,28.17, 705.6, 3.0, 1.3,2,17.32,11.52,10.38,10.80, 7.13, 0.00, 0.76,*****, 0.00, 0.46
82,1,29.27,2.60,31.87,1.59,0.39,10.85, 2.41,10.37,26.43, 716.9, 2.9, 0.9,3,16.06,12.35,10.01, 8.33, 6.81, 3.32, 2.27,94.42, 1.93, 0.00
83,1,30.64,2.61,31.05,1.49,0.34,12.71, 1.80,11.63,32.95, 736.7, 1.9, 1.0,2,16.25,10.54,11.26, 8.29, 7.04, 3.23, 0.86,95.91, 1.87, 0.00
84,1,28.21,2.78,35.16,1.60,0.36,12.76, 2.44,11.54,26.49, 765.3, 1.3, 1.9,2,18.59,11.35,10.04, 7.23, 7.27, 0.00, 0.38,*****, 1.31, 0.05
85,1,29.99,2.74,34.68,1.60,0.34,11.02, 1.10,11.31,26.74, 821.3, 3.7, 1.5,3,22.59,16.46, 9.96, 4.29, 7.40, 3.27, 0.00,98.18, 0.00, 0.20
86,1,28.89,2.99,30.61,1.56,0.34,10.35, 1.89,11.40,33.08, 797.6, 3.3, 2.5,3,21.06,14.50, 9.67, 6.16, 8.01, 0.00, 0.41,*****, 3.65, 1.40
87,1,29.52,2.80,35.14,1.78,0.40,12.95, 1.35, 9.93,28.16, 811.9, 2.9, 2.0,2,18.36,13.14, 9.39, 7.05, 7.63, 0.00, 1.32,*****, 0.63, 1.43
88,1,28.83,2.79,32.50,1.79,0.40,10.82, 2.27,10.71,27.19, 726.9, 4.1, 1.9,2,14.66,12.19, 9.94, 8.29, 6.95, 0.00, 2.43,98.45, 1.33, 0.00
89,1,30.47,2.53,31.62,1.60,0.39,11.35, 1.62,10.22,31.96, 711.4, 4.0, 1.7,2,16.77, 9.07,10.52, 6.36, 6.78, 5.72, 0.00,95.74, 0.00, 0.61
90,1,29.72,2.73,34.60,1.65,0.39,12.70, 1.11, 9.78,30.79, 709.4, 1.5, 0.7,1,16.03, 9.30,11.31, 9.54, 7.13, 0.36, 2.18,97.47, 0.00, 0.00
91,1,30.99,2.59,31.90,1.74,0.30,11.51, 1.60, 9.75,27.89, 708.8, 2.8, 1.2,3,15.93,11.83,10.51, 9.90, 7.21, 0.00, 0.00,*****, 0.00, 0.00
92,1,31.76,2.84,33.13,1.70,0.34,10.88, 1.18, 9.59,34.11, 850.9, 1.2, 2.1,1,21.17,13.66,11.02, 4.70, 8.09, 0.00, 2.69,97.40, 0.00, 0.28
93,1,31.89,2.90,33.52,1.65,0.32,11.84, 1.86,10.46,25.62, 711.7, 1.6, 2.2,3,18.45, 9.19,10.68, 9.39, 7.56, 0.00, 1.28,99.83, 0.00, 0.39
94,1,29.14,2.81,32.89,1.61,0.33,11.49, 1.52,11.73,31.63, 702.2, 4.6, 2.1,3,15.98,10.48, 9.86,10.55, 6.69, 0.00, 0.00,*****, 1.22, 0.00
95,1,30.75,2.90,33.61,1.74,0.33,12.30, 1.66,10.59,32.29, 702.9, 3.2, 1.0,1,18.80, 7.58,12.49,10.65, 6.99, 0.00, 0.00,*****, 3.06, 0.58
96,1,29.38,2.69,35.00,1.45,0.39,10.21, 1.14,11.73,27.40, 846.9, 4.9, 1.5,1,20.75,14.05,10.70, 4.33, 8.12, 0.00, 1.44,98.66, 1.76, 0.00
97,1,31.84,2.84,31.45,1.66,0.33,12.15, 1.53,11.40,26.78, 783.4, 2.7, 1.8,2,21.44,12.01,10.04, 7.20, 7.78, 1.06, 1.52,97.42, 0.00, 0.00
98,1,28.74,2.98,30.16,1.46,0.39,11.34, 2.46,10.99,30.40, 866.9, 2.6, 1.5,1,23.27,15.39,10.66, 5.77, 8.53, 1.48, 1.21,97.30, 0.00, 0.00
99,1,30.40,2.77,31.08,1.45,0.33,10.41, 1.22,10.24,33.40, 815.1, 4.2, 0.8,1,19.28,12.49,11.56, 5.64, 7.60, 0.56, 0.91,98.54, 4.43, 0.04
100,1,28.74,2.81,34.77,1.71,0.39,11.27, 1.94, 9.80,30.97, 789.5, 2.1, 1.4,1,17.82,11.05,10.58, 6.91, 7.20, 0.00, 1.49,*****, 3.03, 0.00
101,1,31.51,2.80,34.57,1.41,0.38,11.38, 2.16, 9.09,28.32, 806.1, 3.3, 0.7,2,20.03,13.05,11.32, 6.74, 7.82, 0.00, 0.39,*****, 0.00, 0.87
102,1,29.69,2.58,34.46,1.58,0.32,11.82, 1.42,11.46,31.83, 826.0, 2.6, 1.4,3,24.72,16.86, 9.91, 5.91, 7.89, 0.00, 0.61,*****, 3.29, 0.00
103,1,29.85,2.54,32.81,1.77,0.39,10.82, 1.10, 9.41,34.26, 870.9, 2.5, 0.8,3,25.45,18.93, 9.73, 5.16, 8.34, 2.51, 0.00,98.43, 1.55, 1.87
104,1,28.35,2.87,32.87,1.74,0.37,11.93, 1.82, 9.85,28.54, 877.2, 3.8, 0.5,2,24.95,17.44,10.10, 3.92, 8.54, 0.00, 0.00,*****, 1.40, 0.00
105,1,30.32,2.93,32.59,1.80,0.33,12.92, 1.66,11.86,28.92, 704.2, 4.8, 1.3,3,19.43,11.11,10.22, 9.61, 7.04, 1.34, 1.51,97.16, 0.93, 0.12
106,1,31.04,2.90,32.69,1.52,0.33,10.05, 1.97,11.20,27.01, 851.8, 3.8, 1.6,3,23.08,17.47, 9.26, 4.02, 8.49, 0.00, 2.97,98.38, 0.29, 0.00
107,1,28.62,2.84,31.35,1.63,0.30,10.16, 2.02, 9.91,33.14, 844.7, 1.6, 2.1,2,24.43,15.12,10.38, 4.60, 7.84, 0.00, 2.17,*****, 5.87, 0.00
108,1,30.89,2.92,31.13,1.70,0.36,12.25, 1.26,10.18,27.63, 720.5, 3.3, 2.1,1,18.69, 8.00,11.53, 8.98, 7.10, 1.89, 0.00,99.15, 3.16, 0.00
109,1,29.94,2.75,35.91,1.41,0.31,10.41, 1.25,10.83,26.23, 746.4, 2.7, 0.7,1,19.23, 8.80,11.58, 7.68, 7.16, 0.00, 0.00,*****, 3.81, 0.66
110,1,29.83,2.70,31.57,1.43,0.36,10.23, 1.06, 9.85,28.02, 852.9, 1.9, 1.1,2,23.33,16.41,10.83, 5.23, 8.16, 0.00, 3.11,99.92, 0.96, 0.00
111,1,28.28,2.57,31.98,1.77,0.33,11.79, 1.06, 9.81,30.29, 812.3, 1.6, 0.6,1,21.96,12.48,10.76, 6.26, 7.88, 0.00, 0.68,*****, 0.00, 0.00
112,1,30.56,2.91,35.93,1.59,0.31,11.08, 2.11, 9.97,34.09, 788.5, 4.5, 2.5,1,18.21,10.70,11.43, 8.66, 7.25, 0.00, 3.03,98.61, 0.49, 0.00
113,1,28.65,2.81,34.83,1.71,0.37,12.99, 1.96, 9.62,28.12, 761.6, 4.5, 1.7,2,18.81,12.37,10.58, 7.54, 7.44, 0.00, 0.00,*****, 0.00, 0.00
114,1,29.14,2.96,34.91,1.76,0.37,10.10, 1.41,10.42,32.69, 880.1, 3.1, 2.1,2,23.31,16.13, 9.67, 6.24, 8.60, 0.00, 0.00,*****, 0.00, 0.00
115,1,31.79,2.83,33.45,1.75,0.32,12.56, 1.97,11.55,25.60, 875.6, 1.4, 0.7,3,22.85,18.52,10.29, 1.52, 8.02, 0.00, 0.19,*****, 0.00, 0.42
116,1,29.70,2.83,35.19,1.40,0.39,12.93, 1.38,10.59,34.25, 886.8, 3.6, 1.0,3,26.50,16.55, 8.95, 4.54, 8.52, 0.00, 1.28,*****, 0.00, 0.00
117,1,31.79,2.88,34.47,1.55,0.39,12.95, 1.08, 9.48,34.08, 895.8, 3.8, 0.9,1,25.47,17.10,11.03, 2.93, 8.73, 0.00, 1.64,*****, 0.00, 0.00
118,1,28.65,2.75,30.56,1.79,0.32,10.31, 1.83,11.57,26.39, 712.9, 3.9, 2.3,2,16.84,12.35, 9.21, 9.31, 7.27, 1.02, 3.72,95.26, 2.59, 0.00
119,1,31.25,2.87,34.91,1.50,0.36,12.46, 1.51,11.97,31.52, 808.8, 1.6, 2.1,1,22.86,13.55,11.12, 6.16, 7.91, 0.00, 1.48,*****, 1.46, 0.00
120,1,30.37,2.72,31.12,1.42,0.31,11.15, 1.27,11.21,26.56, 833.8, 2.8, 2.2,3,23.13,17.11, 9.72, 5.60, 8.22, 4.51, 0.00,96.09, 0.00, 0.39
121,1,29.07,2.69,35.02,1.61,0.33,10.37, 1.61, 9.28,32.98, 731.5, 4.7, 1.8,2,19.01,11.34,10.75, 7.51, 7.42, 0.00, 0.37,99.89, 0.00, 0.69
122,1,30.95,2.76,30.85,1.66,0.30,12.81, 1.30,10.71,32.20, 836.1, 3.5, 0.6,3,22.79,15.93, 9.50, 3.96, 8.11, 0.22, 0.00,*****, 2.55, 0.00
123,1,28.84,2.95,32.24,1.44,0.30,10.70, 2.10,11.31,30.36, 798.8, 3.5, 2.5,1,18.66,10.92,10.76, 6.42, 7.50, 0.15, 0.00,*****, 3.14, 0.00
124,1,29.52,2.78,31.15,1.79,0.31,12.63, 2.27,10.18,26.01, 762.0, 2.6, 1.7,2,19.66,11.94,10.00, 9.25, 7.15, 1.44, 0.00,*****, 4.93, 0.00
125,1,28.18,2.71,30.44,1.69,0.33,11.32, 1.15,10.29,34.16, 764.8, 2.2, 1.1,1,18.91, 9.85,11.98, 6.53, 7.35, 0.25, 0.67,99.08, 2.28, 0.00
126,1,30.71,2.52,30.69,1.62,0.30,12.46, 2.39,10.23,32.06, 747.9, 2.5, 0.8,3,20.46,11.28,10.66, 6.15, 7.46, 2.95, 0.00,97.60, 0.00, 1.39
127,1,31.44,2.85,35.06,1.44,0.40,12.50, 1.47,11.23,25.65, 881.6, 4.6, 0.5,1,22.96,15.47,11.17, 3.58, 8.10, 0.00, 0.16,*****, 0.00, 0.00
128,1,29.69,2.86,35.45,1.58,0.37,10.91, 2.49, 9.97,29.43, 842.5, 2.0, 1.3,2,19.66,14.62,10.31, 4.50, 8.41, 1.91, 0.00,99.08, 0.00, 1.40
129,1,30.51,2.75,31.26,1.68,0.36,12.45, 1.60,11.58,31.65, 836.9, 1.4, 2.1,3,24.69,14.80, 9.02, 4.41, 7.73, 0.00, 0.00,*****, 1.77, 0.36
130,1,30.57,2.94,31.94,1.69,0.39,12.39, 1.62,10.99,30.93, 888.1, 4.9, 2.1,3,24.65,18.55, 9.89, 2.17, 8.43, 0.00, 0.00,*****, 0.22, 1.61
